Linux 2.6.32-358.2.1.el6.x86_64 (n020303) 	2013-05-30 	_x86_64_	(24 CPU)

00:00:01          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
04:10:01       dev8-0     34,49   1707,30   5443,94    207,35      0,22      6,42      2,24      7,71
04:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:10:01       dev9-1      0,79      0,00      6,34      7,98      0,00      0,00      0,00      0,00
04:10:01       dev9-3    137,70   3413,17  10874,18    103,76      0,00      0,00      0,00      0,00
04:10:01       dev9-2      0,08      0,60      0,00      8,00      0,00      0,00      0,00      0,00
04:20:01      dev8-16     42,25   2340,96   5423,60    183,76      0,35      8,36      2,00      8,45
04:20:01       dev8-0     42,07   2342,34   5420,31    184,50      0,32      7,67      1,94      8,15
04:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:20:01       dev9-1      0,69      0,00      5,56      8,00      0,00      0,00      0,00      0,00
04:20:01       dev9-3    153,14   4683,07  10828,87    101,29      0,00      0,00      0,00      0,00
04:20:01       dev9-2      0,03      0,23      0,00      8,00      0,00      0,00      0,00      0,00
04:30:01      dev8-16     43,10   2034,85   5460,29    173,89      0,35      8,19      1,97      8,50
04:30:01       dev8-0     42,74   2035,04   5454,28    175,24      0,30      7,12      1,90      8,13
04:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:30:01       dev9-1      0,70      0,00      5,57      8,00      0,00      0,00      0,00      0,00
04:30:01       dev9-3    150,49   4069,79  10899,55     99,47      0,00      0,00      0,00      0,00
04:30:01       dev9-2      0,01      0,11      0,00      8,00      0,00      0,00      0,00      0,00
04:40:01      dev8-16     39,71   2073,87   5424,42    188,84      0,32      7,97      2,09      8,30
04:40:01       dev8-0     39,71   2074,00   5425,05    188,84      0,29      7,31      2,05      8,13
04:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:40:01       dev9-1      0,77      0,00      6,15      8,00      0,00      0,00      0,00      0,00
04:40:01       dev9-3    147,30   4147,77  10833,14    101,70      0,00      0,00      0,00      0,00
04:40:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:50:01      dev8-16     35,71   1950,98   5421,99    206,49      0,25      7,01      2,35      8,40
04:50:01       dev8-0     35,46   1950,49   5417,29    207,77      0,23      6,50      2,27      8,04
04:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:50:01       dev9-1      0,70      0,00      5,60      8,00      0,00      0,00      0,00      0,00
04:50:01       dev9-3    141,85   3901,45  10824,27    103,81      0,00      0,00      0,00      0,00
04:50:01       dev9-2      0,00      0,01      0,00      8,00      0,00      0,00      0,00      0,00
05:00:01      dev8-16     33,94   2050,60   5442,09    220,78      0,22      6,39      2,34      7,96
05:00:01       dev8-0     33,66   2052,08   5438,23    222,52      0,21      6,13      2,33      7,85
05:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:00:01       dev9-1      0,75      0,00      6,00      8,00      0,00      0,00      0,00      0,00
05:00:01       dev9-3    141,40   4102,74  10864,06    105,85      0,00      0,00      0,00      0,00
05:00:01       dev9-2      0,00      0,01      0,00      8,00      0,00      0,00      0,00      0,00
05:10:01      dev8-16     36,98   2242,58   5388,31    206,36      0,26      6,99      2,27      8,39
05:10:01       dev8-0     36,82   2243,50   5384,53    207,18      0,25      6,75      2,26      8,32
05:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:10:01       dev9-1      0,80      0,00      6,41      8,00      0,00      0,00      0,00      0,00
05:10:01       dev9-3    145,96   4484,49  10755,55    104,41      0,00      0,00      0,00      0,00
05:10:01       dev9-2      0,18      1,41      0,00      8,00      0,00      0,00      0,00      0,00
05:20:01      dev8-16     39,87   1836,62   5429,07    182,21      0,30      7,46      2,07      8,24
05:20:01       dev8-0     39,72   1834,59   5425,74    182,80      0,27      6,74      1,99      7,89
05:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
